0.000000	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005	-79.690005
1.000000	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050	-79.690050
2.000000	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057	-79.690057
3.000000	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076	-79.690076
4.000000	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106	-79.690106
5.000000	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145	-79.690145
6.000000	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690192	-79.690193
7.000000	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247	-79.690247
8.000000	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690307	-79.690308
9.000000	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690373	-79.690374
